# BEGIN PLOT
DrawOnly=Envel-100.000000-/ATLAS_2015_I1404878_custom/pt_lepton  /REF/ATLAS_2015_I1404878_custom/pt_lepton
RatioPlot=1
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/pt_lepton
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /REF/ATLAS_2015_I1404878_custom/pt_lepton
AidaPath=/REF/ATLAS_2015_I1404878_custom/pt_lepton
Title=ATLAS data
PolyMarker=*
ErrorBars=1
## Area: 1.227393e+06
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	4.000000e+01	7.842725e+03	1.400243e+01	1.400243e+01
4.000000e+01	8.000000e+01	1.284333e+04	1.791879e+01	1.791879e+01
8.000000e+01	1.200000e+02	5.152000e+03	1.134901e+01	1.134901e+01
1.200000e+02	1.600000e+02	2.242900e+03	7.488157e+00	7.488157e+00
1.600000e+02	2.000000e+02	1.117525e+03	5.285653e+00	5.285653e+00
2.000000e+02	2.400000e+02	6.152000e+02	3.921734e+00	3.921734e+00
2.400000e+02	2.800000e+02	3.701250e+02	3.041895e+00	3.041895e+00
2.800000e+02	3.200000e+02	2.322500e+02	2.409616e+00	2.409616e+00
3.200000e+02	3.600000e+02	1.561000e+02	1.975475e+00	1.975475e+00
3.600000e+02	4.000000e+02	1.126750e+02	1.678355e+00	1.678355e+00
# END HISTOGRAM


# BEGIN HISTOGRAM Envel-100.000000-/ATLAS_2015_I1404878_custom/pt_lepton
Title=Envelope (CL 100.0 \%)
ErrorBands=1
ErrorBandColor=blue!40!
ErrorBandOpacity=0.45
LineStyle=none
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	4.000000e+01	7.423300e+03	2.385000e+01	2.385000e+01
4.000000e+01	8.000000e+01	1.218360e+04	3.135000e+01	3.135000e+01
8.000000e+01	1.200000e+02	4.913512e+03	2.161250e+01	2.161250e+01
1.200000e+02	1.600000e+02	2.189887e+03	1.201250e+01	1.201250e+01
1.600000e+02	2.000000e+02	1.101625e+03	1.172500e+01	1.172500e+01
2.000000e+02	2.400000e+02	6.135750e+02	4.700000e+00	4.700000e+00
2.400000e+02	2.800000e+02	3.679000e+02	5.300000e+00	5.300000e+00
2.800000e+02	3.200000e+02	2.328875e+02	2.212500e+00	2.212500e+00
3.200000e+02	3.600000e+02	1.572000e+02	3.075000e+00	3.075000e+00
3.600000e+02	4.000000e+02	1.106375e+02	2.287500e+00	2.287500e+00
# END HISTOGRAM
